Disease,ROC_AUC,PR_AUC,Optimal_Threshold,Precision,Recall,F1,Status
Diabetes_Label,0.6844177804164435,0.4342946151715871,0.3,0.3959415986142044,0.5659709939865581,0.46592894583576006,Unviable (Max P < 0.65 at R>=0.5)
CHF_Label,0.7560225774091436,0.48407650495276766,0.3,0.4478804725503822,0.5395562997069904,0.4894626922346687,Unviable (Max P < 0.65 at R>=0.5)
Sepsis_Label,0.8189558160370835,0.4818461699929308,0.25,0.44337016574585636,0.5790739627179795,0.5022164276401565,Unviable (Max P < 0.65 at R>=0.5)
AKI_Label,0.884437564159356,0.7681788884151762,0.3,0.7007756563245824,0.753609239653513,0.7262328025970011,"Viable (P>=0.65, R>=0.50)"
